101 Crawler Path: (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), Alive!
102 Hopper Path: (7, 0), (5, 0), (3, 0), (1, 0), (0, 0), (0, 0), (0, 0), (0, 2), (0, 4), (0, 6), Alive!
103 Crawler Path: (10, 9), (10, 10), (10, 9), (10, 8), (10, 7), (10, 6), (10, 5), (10, 4), (10, 3), (10, 2), Alive!
104 Crawler Path: (0, 10), (0, 9), (0, 8), (0, 7), (0, 6), (0, 5), (0, 4), (0, 3), (0, 2), (0, 1), Alive!
105 Crawler Path: (2, 1), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), Alive!
106 Crawler Path: (8, 2), (9, 2), (10, 2), (10, 1), (10, 0), (9, 0), (8, 0), (7, 0), (6, 0), (5, 0), Alive!
107 Hopper Path: (2, 10), (5, 10), (8, 10), (10, 10), (10, 10), (7, 10), (4, 10), (1, 10), (0, 10), (0, 10), Alive!
108 Hopper Path: (3, 7), (0, 7), (0, 10), (4, 10), (8, 10), (10, 10), (10, 10), (10, 10), (10, 6), (10, 2), Alive!
109 Hopper Path: (2, 4), (0, 4), (0, 6), (0, 8), (0, 10), (0, 10), (2, 10), (4, 10), (6, 10), (8, 10), Alive!
110 Crawler Path: (6, 5), (7, 5), (8, 5), (9, 5), (10, 5), (9, 5), (8, 5), (7, 5), (6, 5), (5, 5), Alive!
111 Crawler Path: (4, 4), (4, 3), (4, 2), (4, 1), (4, 0), (3, 0), (2, 0), (1, 0), (0, 0), (0, 1), Alive!
112 Hopper Path: (5, 6), (5, 8), (5, 10), (7, 10), (9, 10), (10, 10), (10, 8), (10, 6), (10, 4), (10, 2), Alive!
